category,nctid,name,phase,summary
new hit from relaxed search,NCT04441918,,Phase 1,"A Randomized, Double-blind, Placebo-controlled, Phase I Clinical Study to Evaluate the Tolerability, Safety, Pharmacokinetic Profile and Immunogenicity of JS016 (Anti-SARS-CoV-2 Monoclonal Antibody) Injection in Chinese Healthy Subjects After Intravenous Infusion of Single Dose"
new hit from relaxed search,NCT04514302,,"Phase 1, Phase 2",Pilot Study to Evaluate Safety and Efficacy of Anti-SARS-CoV-2 Equine Immunoglobulin F(ab')2 Fragments (INOSARS) in Hospitalized Patients With COVID-19
new hit from relaxed search,NCT04555148,,Phase 2,"A Prospective, Open-label, Randomized, Multi-center, Phase 2a Study to Evaluation the Dose Response, Efficacy and Safety of Hyper-Ig (Hyper-immunoglobulin) GC5131 in Patients With COVID-19"
new hit from relaxed search,NCT04551898,,Phase 2,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of SARS-CoV-2 Neutralizing Antibody BGB-DXP593 in Patients WithMild-to-Moderate COVID-19"
new hit from relaxed search,NCT04545060,,"Phase 2, Phase 3","A Randomized, Multi-center, Double-blind, Placebo-controlled Study to Assess the Safety and Efficacy of Monoclonal Antibody VIR-7831 for the Early Treatment of Coronavirus Disease 2019 (COVID-19) in Non-hospitalized Patients"
new hit from relaxed search,NCT04532294,,Phase 1,"A First-in-Human, Randomized, Double-Blind, Placebo Controlled, Single Dose Escalation Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of SARS-CoV-2 Neutralizing Antibody BGB-DXP593 in Healthy Subjects"
new hit from relaxed search,NCT04519424,,Phase 2,"A Phase 2, Multicenter, Double-blind, Randomized, Placebo-controlled Study to Evaluate CSL324 in Coronavirus Disease 2019 (COVID-19)"
new hit from relaxed search,NCT04533048,,Phase 1,"A Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Characteristics and Immunogenicity of a Single Dose of MW33 Injection in Healthy Subjects"
new hit from relaxed search,NCT04475575,,Not Applicable,Can the Electronic Nose Smell COVID-19 Antibodies? A Proof-of-principle Study
new hit from relaxed search,NCT04264858,,Not Applicable,An Exploratory Clinical Study on the Treatment of Acute Severe 2019-nCoV Pneumonia With Immunoglobulin From Cured 2019-nCoV Pneumonia Patients
new hit from relaxed search,NCT04454398,,Phase 1,"A Randomized, Placebo-controlled Study to Evaluate the Safety, Pharmacokinetics and Efficacy of a Single Dose of STI-1499 (COVI-GUARD™) in Hospitalized Patients With Moderate COVID-19"
new hit from relaxed search,NCT04447469,,,"A Phase 2/3, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Mavrilimumab (KPL-301) Treatment in Adult Subjects Hospitalized With Severe COVID-19 Pneumonia and Hyper-inflammation"
new hit from relaxed search,NCT04466657,,Not Applicable,A Study to Evaluate Antioxidant Therapy for Moderate to Severe COVID-19 With or Without Comorbidities
new hit from relaxed search,NCT04390464,,,mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Repurposed Drugs (TACTIC-R)
new hit from relaxed search,NCT04498325,,Phase 1,"A Phase I and Pilot Study Evaluating the Effect of NT-I7, a Long Acting Interleukin-7, to Increase Lymphocyte Counts and Enhance Immune Clearance of SARS-CoV-2"
new hit from relaxed search,NCT04397497,,,"A Randomized, Double Blind, Placebo-controlled Trial of Mavrilimumab for Acute Respiratory Failure Due to COVID-19 Pneumonia With Hyper-inflammation (the COMBAT-19 Trial)"
